document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count,month,day_of_week,quarter,is_weekend,parliamentary_year,session_quarter,question_sequence,questions_per_day,mp_questions_total,mp_questions_this_year,mp_activity_rate,minister_questions_total,minister_questions_this_month,is_budget_season,is_election_year,text_length,word_count,sentence_count,avg_word_length,flesch_score,flesch_grade,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,is_yes_no_question,is_how_question,is_why_question,is_what_question,is_when_question,is_where_question,urgency_score,contains_numbers,contains_percentages,contains_money,topic_health,topic_education,topic_infrastructure,topic_agriculture,topic_mining,topic_water,topic_energy,topic_security,topic_finance,topic_governance,multi_sector_question,sector_count,dominant_sector,has_geographic_focus,mp_name,constituency,mp_cleaned_name,mp_gender,province,is_urban_constituency,is_mining_region,is_border_province,has_title,name_length,has_multiple_names,mp_minister_interactions,minister_diversity,mp_diversity,mp_rank_by_activity,minister_rank_by_workload,province_questions_total,province_mp_count,province_avg_questions_per_mp,gender_questions_total,is_female_mp,mp_question_interval,mp_avg_question_interval,mp_consistent_questioner,minister_high_pressure,end_of_year_activity,start_of_year_activity
"Friday, 21st June, 2019",https://www.parliament.gov.zm/node/7973,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,398,Brig Gen Sitwala (Kaoma Central),Minister of General,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct additional classroom blocks at the following recently upgraded secondary schools in Kaoma Central Parliamentary Constituency: (i) Mulamatila; (ii) Longe; (iii) Lunyati; and (iv) Luena; (b) if so, when the plans will be implemented; (c) what the total cost of the exercise is; and (d) if there are no such plans, why.",5,,,,0,,,,,1,,,3,,0,0,370,60,1,5.183333333333334,3.5250000000000057,27.673333333333336,0.0,0.066,0.934,-0.4767,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,education,1,Brig Gen Sitwala (Kaoma Central),Kaoma Central,Brig Gen Sitwala,Unknown,Western,1,0,1,0,16,1,1,1,3,1744.0,1636.0,33,7,4.714285714285714,44,0,,,0,0,0,0
"Thursday, 12th June, 2025",https://www.parliament.gov.zm/node/12380,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,311,Dr Andeleki (Katombola),Minister of Transport and Logistics,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to rehabilitate the Mulobezi Railway Line, which is in a deplorable state; (b) if so, when the plans will be implemented; and (c) what the cost of the project is.",3,,,,0,,,,,3,,,30,,0,0,203,37,1,4.513513513513513,45.80972972972974,16.061621621621622,0.0,0.0,1.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,0,Dr Andeleki (Katombola),Katombola,Andeleki,Unknown,Unknown,0,0,0,1,8,0,1,3,23,1597.5,1268.5,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Thursday, 20th March, 2025",https://www.parliament.gov.zm/node/12246,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,266,Dr Andeleki (Katombola),"Minister of Infrastructure, Housing and Urban Development",6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) why the construction of the Zimba-Nyawa-Kalomo road has stalled; (b) what the outstanding works, in percentage terms, were as of December, 2024; (c) when the project will resume; and (d) when the project will be completed. 7. ORDER OF THE DAY Thanks - The President’s Address – Motion (4th March) - Resumption of debate.  (The Minister of Youth, Sport and Arts). ___________________________",4,,,,0,,,,,3,,,190,,0,0,394,63,5,5.253968253968254,66.68500000000003,8.92666666666667,0.105,0.027,0.868,0.7269,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,infrastructure,0,Dr Andeleki (Katombola),Katombola,Andeleki,Unknown,Unknown,0,0,0,1,8,0,1,3,98,1597.5,95.5,1291,196,6.586734693877551,44,0,,,0,1,0,0
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,294,Dr Andeleki (Katombola),Minister of Local Government and Rural Development,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) when rehabilitation of palaces for the following chiefs in Katombola Parliamentary Constituency will commence: (i) Chief Moomba; (ii) Chief Sekute; and (iii) Chief Musokotwane; and (b) what the cause of the delay in commencing the rehabilitation works is, considering that the palaces are in a deplorable condition.",3,,,,0,,,,,3,,,129,,0,0,319,48,1,5.666666666666667,3.015000000000015,24.763333333333332,0.0,0.048,0.952,-0.3182,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,1,Dr Andeleki (Katombola),Katombola,Andeleki,Unknown,Unknown,0,0,0,1,8,0,1,3,73,1597.5,428.0,1291,196,6.586734693877551,44,0,,,0,1,0,0
"Thursday, 28th February, 2019",https://www.parliament.gov.zm/node/7892,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,283,Dr Chanda (Bwana Mkubwa),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to train more teachers for children with special needs; (b) if so, when the plans will be implemented; (c) whether the Government has any plans to construct more classrooms in primary and secondary schools countrywide to accommodate children with special needs; and (d) if so, when the plans will be implemented.",4,,,,0,,,,,5,,,54,,0,0,353,58,1,5.103448275862069,18.14775862068967,25.13689655172414,0.088,0.0,0.912,0.6597,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,education,0,Dr Chanda (Bwana Mkubwa),Bwana Mkubwa,Chanda,Unknown,Unknown,0,0,0,1,6,0,1,5,34,1447.5,1051.5,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Thursday, 22nd February, 2018",https://www.parliament.gov.zm/node/7382,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,144,Dr Chanda (Bwana Mkubwa),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER,"(a)    whether the Government has any plans to sell the former NAMBOARD houses in Ndeke Township in Ndola to sitting tenants; (b)    if so, when the exercise will commence; and (c)    if there are no such plans, why.",3,,,,0,,,,,5,,,79,,0,0,216,38,1,4.473684210526316,54.722894736842136,15.06684210526316,0.0,0.056,0.944,-0.296,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,0,Dr Chanda (Bwana Mkubwa),Bwana Mkubwa,Chanda,Unknown,Unknown,0,0,0,1,6,0,1,5,42,1447.5,712.0,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Thursday, 22nd February, 2018",https://www.parliament.gov.zm/node/7382,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,145,Dr Chanda (Bwana Mkubwa),"Minister of Youth, Sport and Child Development whether the Government has any plans to support youth sport tournaments in Bwana Mkubwa Parliamentary Constituency.",QUESTIONS FOR ORAL ANSWER,,0,,,,0,,,,,5,,,1,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,0,Dr Chanda (Bwana Mkubwa),Bwana Mkubwa,Chanda,Unknown,Unknown,0,0,0,1,6,0,1,5,1,1447.5,1720.5,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Thursday, 20th June, 2019",https://www.parliament.gov.zm/node/7966,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,397,Dr Chanda (Bwana Mkubwa),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct the following infrastructure at the Kantolomba Cemetery in Bwana Mkubwa Parliamentary Constituency: (i) a mourners’ shelter; and (ii) a tarred road; and (b) if so, when the plans will be implemented. PRESENTATION OF GOVERNMENT BILL The Minister of Health The Food Safety - Bill to provide for the protection of the public against health hazards and fraud in the manufacture, sale and use of food; provide for a streamlined process for regulatory clearances for regulatory health requirements for food premises; establish the Food Safety Coordinating Committee and provide for its functions and powers; provide for health inspection reports and report notices; establish the National Food Laboratory; repeal the Food and Drugs Act, 1972 and sections 79 and 83 of the Public Health Act, 1972; and provide for matters connected with, or incidental to, the foregoing. (N.A.B. 9/2019)",3,,,,0,,,,,5,,,43,,0,0,933,146,4,5.397260273972603,-10.280775862068964,32.70431034482759,0.045,0.026,0.929,0.2263,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,6,health,1,Dr Chanda (Bwana Mkubwa),Bwana Mkubwa,Chanda,Unknown,Unknown,0,0,0,1,6,0,1,5,30,1447.5,1149.0,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Tuesday, 13th March, 2018",https://www.parliament.gov.zm/node/7436,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,221,Dr Chanda (Bwana Mkubwa),Minister of Housing and Infrastructure Development when the construction of roads under the C400 Project in Ndola District will commence.,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),,0,,,,0,,,,,5,,,1,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,0,Dr Chanda (Bwana Mkubwa),Bwana Mkubwa,Chanda,Unknown,Unknown,0,0,0,1,6,0,1,5,1,1447.5,1720.5,1291,196,6.586734693877551,44,0,,,0,0,0,0
"Wednesday, 31st July, 2019",https://www.parliament.gov.zm/node/8053,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,524,Dr Chibanda (Mufulira),Minister of Transport and,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Zambia Telecommunications Company Limited (Zamtel) declared any profits from 2012 to 2018; (b) if so, how much profit was made in the period above, year by year; (c) whether Zamtel was able to compete favourably with other mobile service providers; and (d) whether the Government has any plans to either privatise or list Zamtel on the Lusaka Stock Exchange.",4,,,,0,,,,,8,,,3,,0,0,374,62,1,5.048387096774194,3.3598387096774616,28.19322580645161,0.091,0.028,0.881,0.6326,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,0,Dr Chibanda (Mufulira),Mufulira,Chibanda,Unknown,Copperbelt,0,1,0,1,8,0,1,4,3,1166.5,1636.0,21,5,4.2,44,0,,,0,0,0,0
