source_file,document_title,source_url,document_type,session,question_number,asked_by,minister,section,question_text,date,formatted_date,parliament_session,topic_infrastructure,topic_energy,topic_health,topic_mines,topic_waste_management,topic_agriculture,topic_manufacturing,topic_tourism,topic_technology,topic_transport,topic_education,topic_finance,sector_count,mp_gender,constituency
paper_Tuesday_5th_December_2023_2023.json,"Tuesday, 5th December, 2023",https://www.parliament.gov.zm/node/11478,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,156,Mr Nyambose (Chasefu),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76),"(a) whether the Government is aware that the contractor that was assigned to sink 80 boreholes in Chasefu District has abandoned the works, thereby subjecting 10 schools and 4 health posts to operate without proper water supply; and (b) if so, what urgent measures are being taken to ensure that the project is completed on time to prevent water borne diseases in the affected areas.","5th December, 2023",05/12/23,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,0,0,1,0,0,0,0,0,1,0,1,0,3,Male,Chasefu
paper_Tuesday_5th_December_2023_2023.json,"Tuesday, 5th December, 2023",https://www.parliament.gov.zm/node/11478,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,157,Mr Chewe (Lubansenshi),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76),"(a) whether the Government is aware of the outbreak of cassava brown steak disease in Luwingu,Lupososhi, Chilubi and other Districts; (b) if so, what the cause of the disease is; and (c) what urgent measures are being taken to combat the disease and prevent hunger in the affected areas. NOTICE OF MOTION Mr Chitotela Adopt Report of the Committee on Youth, Sport and Child Matters: That this House do adopt the Report of the Committee on Youth, Sport and Child Matters on the Report of the Auditor General on the Government Measures to Reduce Incidences of Child Labour in Zambia for the Period 2018 to 2022, for the Third Session of the Thirteenth National Assembly, laid on the Table of the House on Tuesday, 28th November, 2023.","5th December, 2023",05/12/23,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,0,0,1,0,0,0,0,0,1,0,0,0,2,Male,Lubansenshi
paper_THURSDAY_3RD_JULY_2014.json,"Thursday, 3rd July, 2014",https://www.parliament.gov.zm/node/482,Order Paper,THIRD SESSION OF THE ELEVENTH ASSEMBLY,544,Mr A D Mbewe (Chadiza),Minister of Agriculture and Livestock,QUESTIONS FOR ORAL ANSWER,"(a) whether the Government is aware that tobacco farmers from different parts of the country have been stranded with their crop in Lusaka since April, 2014, because tobacco merchants have declined to purchase the crop from independent farmers; (b) why the tobacco merchants have declined to purchase the 2013/2014 crop from the affected farmers; (c) what assistance Government will render to the farmers in terms of finding a market for them as a matter of urgency; and (d) what the future of tobacco farming in Zambia is.","3rd July, 2014",03/07/14,THIRD SESSION OF THE ELEVENTH ASSEMBLY,0,0,0,0,0,1,0,0,0,0,0,0,1,Male,Chadiza
paper_THURSDAY_3RD_JULY_2014.json,"Thursday, 3rd July, 2014",https://www.parliament.gov.zm/node/482,Order Paper,THIRD SESSION OF THE ELEVENTH ASSEMBLY,545,Mr Mutale (Kwacha),"Minister of Community Development, Mother and Child Health",QUESTIONS FOR ORAL ANSWER,"(a) when Bulangililo Health Centre in Kwacha Parliamentary Constituency will begin to operate for 24 hours a day; (b) whether the Government has any plans to construct a maternity wing at the Health Centre; (c) if so, what the estimated cost of constructing the wing is; (d) when the construction will commence; and (e) if there are no such plans, why.","3rd July, 2014",03/07/14,THIRD SESSION OF THE ELEVENTH ASSEMBLY,1,0,1,0,0,0,0,0,0,0,0,1,3,Male,Kwacha
paper_THURSDAY_3RD_JULY_2014.json,"Thursday, 3rd July, 2014",https://www.parliament.gov.zm/node/482,Order Paper,THIRD SESSION OF THE ELEVENTH ASSEMBLY,546,Mr Mbulakulima (Chembe),Minister of Finance,QUESTIONS FOR ORAL ANSWER,"(a) what the Kwacha to the US Dollar rate was at the time of the introduction of The Bank of Zambia (Monitoring of Balance of Payments) Regulations, SI No. 55 of 2013; and (b) what positive effects the implementation of these regulations have had on the Zambian Kwacha.","3rd July, 2014",03/07/14,THIRD SESSION OF THE ELEVENTH ASSEMBLY,0,0,0,0,0,0,0,0,0,0,0,1,1,Male,Chembe
paper_THURSDAY_3RD_JULY_2014.json,"Thursday, 3rd July, 2014",https://www.parliament.gov.zm/node/482,Order Paper,THIRD SESSION OF THE ELEVENTH ASSEMBLY,547,Mr Mwila (Chipili),Minister of Gender and Child Development,QUESTIONS FOR ORAL ANSWER,"(a) how many children were living on the streets of Lusaka and Kitwe as of December, 2013; (b) what measures the Government has taken to reduce the number of street children; and (c) how much money is required to be spent on the exercise in order to have all the children removed from the streets.","3rd July, 2014",03/07/14,THIRD SESSION OF THE ELEVENTH ASSEMBLY,0,0,0,0,0,0,0,0,0,0,0,1,1,Male,Chipili
paper_THURSDAY_3RD_JULY_2014.json,"Thursday, 3rd July, 2014",https://www.parliament.gov.zm/node/482,Order Paper,THIRD SESSION OF THE ELEVENTH ASSEMBLY,548,Mr Katuka (Mwinilunga),Minister of Home Affairs when the Immigration Department in Mwinilunga District will be provided with transport.,QUESTIONS FOR ORAL ANSWER,,"3rd July, 2014",03/07/14,THIRD SESSION OF THE ELEVENTH ASSEMBLY,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,Mwinilunga
paper_THURSDAY_3RD_JULY_2014.json,"Thursday, 3rd July, 2014",https://www.parliament.gov.zm/node/482,Order Paper,THIRD SESSION OF THE ELEVENTH ASSEMBLY,549,Mr Ng’onga (Kaputa),"Minister of Education, Science, Vocational Training and Early Education",QUESTIONS FOR ORAL ANSWER,"(a) when Kaputa Secondary School will begin to operate as a boarding school; (b) how many Grade 8 and Grade 10 pupils have been enrolled at the School; (c) how many pupils the School will accommodate once completed; and (d) how many pupils the boarding facility will accommodate. QUESTIONS FOR WRITTEN ANSWER W27 Mr Lufuma (Kabompo West) - to ask the Minister of Community Development, Mother and Child Health: (a) how many women clubs were empowered from 2011 to 2013, year by year in the following Provinces: (i) North-Western; (ii) Northern; and (iii) Luapula; (b) how many clubs at (a) were in Kabompo District, by name and by year; and (c) what form of empowerment was provided to the clubs at (b). W28 Mr Ng’onga (Kaputa) - to ask the Vice President: (a) what the voter turnout in the 2001, 2006 and 2011 general elections was; (b) if the voter turnout decreased, what the reasons for the decrease were; and (c) what measures the Government has taken to ensure an increased voter turnout in the future elections. W29 Mr Ng’onga (Kaputa) - to ask the Minister of Education, Science, Vocational Training and Early Education: (a) how may primary and secondary school teachers were recruited from 2011 to 2013, year by year; (b) how many primary and secondary school teachers were posted to Kaputa Parliamentary Constituency in the same period, year by year; (c) of the teachers posted, how many took up their positions; (d) how many teachers were transferred from the Constituency in 2013 and 2014; and (e) what the reasons for teachers being transferred from the Constituency are.","3rd July, 2014",03/07/14,THIRD SESSION OF THE ELEVENTH ASSEMBLY,0,1,1,0,0,0,0,0,1,0,1,0,4,Male,Kaputa
paper_Friday_23rd_February_2023_2023.json,"Friday, 23rd February, 2023",https://www.parliament.gov.zm/node/11590,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,232,Mr Mushanga (Bwacha),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the total number of cattle in the following wards in Bwacha Parliamentary Constituency was, as of July, 2023; (i) Kang’omba; (ii) Munga; (iii) Munyama; and (iv) Chinyanja; and (b) why the cattle in the wards above were not vaccinated under the corridor disease vaccination exercise.","23rd February, 2023",23/02/23,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,0,0,1,0,0,0,0,0,0,0,0,0,1,Male,Bwacha
paper_Friday_23rd_February_2023_2023.json,"Friday, 23rd February, 2023",https://www.parliament.gov.zm/node/11590,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,233,Mr Miyutu (Kalabo Central),"Minister of Youth, Sport and Arts",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why the construction of the Kalabo Resource Centre in Kalabo District has stalled; (b) when the project will resume; (c) at what level of completion, in percentage terms, the project was, as of July, 2023; (d) what the contract sum for the project is; and (e) who the contractor for the project is.","23rd February, 2023",23/02/23,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,1,0,0,0,0,0,0,0,1,0,0,0,2,Male,Kalabo Central
