document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count
"Tuesday, 5th December, 2023",https://www.parliament.gov.zm/node/11478,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,156,Mr Nyambose (Chasefu),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76),"(a) whether the Government is aware that the contractor that was assigned to sink 80 boreholes in Chasefu District has abandoned the works, thereby subjecting 10 schools and 4 health posts to operate without proper water supply; and (b) if so, what urgent measures are being taken to ensure that the project is completed on time to prevent water borne diseases in the affected areas.",2
"Tuesday, 5th December, 2023",https://www.parliament.gov.zm/node/11478,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,157,Mr Chewe (Lubansenshi),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76),"(a) whether the Government is aware of the outbreak of cassava brown steak disease in Luwingu,Lupososhi, Chilubi and other Districts; (b) if so, what the cause of the disease is; and (c) what urgent measures are being taken to combat the disease and prevent hunger in the affected areas. NOTICE OF MOTION Mr Chitotela Adopt Report of the Committee on Youth, Sport and Child Matters: That this House do adopt the Report of the Committee on Youth, Sport and Child Matters on the Report of the Auditor General on the Government Measures to Reduce Incidences of Child Labour in Zambia for the Period 2018 to 2022, for the Third Session of the Thirteenth National Assembly, laid on the Table of the House on Tuesday, 28th November, 2023.",3
"Friday, 23rd February, 2023",https://www.parliament.gov.zm/node/11590,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,232,Mr Mushanga (Bwacha),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the total number of cattle in the following wards in Bwacha Parliamentary Constituency was, as of July, 2023; (i) Kang’omba; (ii) Munga; (iii) Munyama; and (iv) Chinyanja; and (b) why the cattle in the wards above were not vaccinated under the corridor disease vaccination exercise.",3
"Friday, 23rd February, 2023",https://www.parliament.gov.zm/node/11590,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,233,Mr Miyutu (Kalabo Central),"Minister of Youth, Sport and Arts",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why the construction of the Kalabo Resource Centre in Kalabo District has stalled; (b) when the project will resume; (c) at what level of completion, in percentage terms, the project was, as of July, 2023; (d) what the contract sum for the project is; and (e) who the contractor for the project is.",5
"Friday, 23rd February, 2023",https://www.parliament.gov.zm/node/11590,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,234,Mr Kapyanga (Mpika),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to tar township roads in the following areas in Mpika Parliamentary Constituency: (i) Kamwanya; (ii) MusakanyaKombe; (iii) Cassanova; (iv) Chisanga; (v) Chitulika; (vi) Kalolo to Musakanya Market; (vii) Great North Road to Tazara Compound; and (viii) Mpika Boys Secondary School to St. Andrew’s Catholic School; and (b) if so, when the plans will be implemented.",4
"Friday, 23rd February, 2023",https://www.parliament.gov.zm/node/11590,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,235,Mr C Mpundu (Chembe),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) when the construction of the following categories of houses for civil servants in Chembe District will be completed: (i) 02 high cost; (ii) 10 medium cost; and (iii) 20 low cost; (b) at what level of completion, in percentage terms, each category was, as of June, 2023; and (c) what the cause of the delay in completing the project, is.",4
"Friday, 23rd February, 2023",https://www.parliament.gov.zm/node/11590,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,236,Mr Simuzingili (Gwembe),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to transform the Curriculum Development Centre into a Quasi Government Institution so as to improve its efficiency and effectiveness; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why. PRESENTATION OF GOVERNMENT BILLS The Minister of Mines and Minerals Development 1. The Minerals Regulation Commission – Bill to regulate and monitor the development and management of mineral resources in the Republic, establish the Minerals Regulation Commission and provide for its functions, establish the Mining Appeals Tribunal, repeal and replace the Mines and Minerals Development Act, 2015 and provide for matters connected with, or incidental to, the foregoing. (N.A.B 1/2024) The Minister of Fisheries and Livestock 2. The Animal Identification and Traceability – Bill to establish the Animal Identification and Traceability Unit and provide for its functions; provide for an animal identification and traceability system; provide for the registration of animal identification marks and agents; provide for the traceability of animals, animal products and animal by products; repeal and replace the animal Identification Act, 2010; and provide for matters connected with, or incidental to, the foregoing. (N.A.B 2/2024) The Minister of Commerce, Trade and Industry 3. The Investment, Trade and Business Development (Amendment) – Bill to amend the Investment, Trade and Business Development Act, 2022. (N.A.B 3/2024) ___________________________",3
"Friday, 5th November, 2021",https://www.parliament.gov.zm/node/9879,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,74,Mr Kamondo (Mufumbwe),Minister of Finance and National Planning,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how much money was collected, countrywide, as toll fees, from 2016 to August, 2021, year by year; (b) which toll plaza collected the highest amount; (c) how many toll plazas were under construction, countrywide, as of August, 2021; and (d) when the construction will be completed and the plazas become operational.",4
"Friday, 5th November, 2021",https://www.parliament.gov.zm/node/9879,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,75,Ms Katuta (Chienge),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct a correctional facility in Chienge District; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) what the estimated time frame for the completion of the project is.",4
"Friday, 5th November, 2021",https://www.parliament.gov.zm/node/9879,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,76,Ms Halwiindi (Kabwe Central),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the Kabwe - Mukonchi road in Kabwe District; and (b) if so, when the plan will be implemented.",2
